source_id,ra,dec,parallax,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,rpgeo
5839595560385728256,206.1711747807198,-72.8400069731326,1.6602331645762325,25.176569,17.3472004,18.3829346,16.3444748,2.03845978,601.001892
2238452846333801856,294.44756478080694,58.50291185684028,0.4516306899282384,17.4367867,15.7189436,16.0363693,15.2301836,0.806185722,2110.77881
1875071022220769408,335.9100921207241,22.42799697247472,1.3291094976945337,41.1641998,15.1970539,15.6673565,14.5604334,1.1069231,733.642578
263452473599898624,82.28011213823267,54.03266120590819,0.420386071450136,11.9603825,15.5279598,16.0508442,14.83708,1.21376419,2141.44702
3410395077465092608,69.41137665953072,18.702293759988088,16.410971352414528,282.408539,14.6678009,16.3039703,13.2481461,3.05582428,60.7487602
6020303869838361984,249.17083472898875,-36.07394806948773,0.3107332987674367,10.9881363,14.7375107,15.8946466,13.6845875,2.21005917,2846.71899
5438432382134027648,145.6640622998638,-34.301827454283114,1.470598440628358,67.9933701,13.6084566,13.9259348,13.1159945,0.809940338,663.144531
5602547480561115648,107.15933582680756,-34.699057725618346,0.729344495733985,72.0018616,12.3655043,12.9734669,11.619813,1.35365391,1364.6344
702950322309696128,128.6791203536195,26.056159612142967,3.217345379218817,11.1218233,19.039875,20.6515255,17.8355999,2.8159256,323.700134
2736600191456322304,338.5980594369687,16.50850423087803,0.9034620208701192,10.6161022,15.1440916,15.477005,14.6545,0.822504997,1109.3075
2641824595540025856,357.4153165633134,-0.7158112838182458,0.8964071335522203,15.5368834,16.4761696,17.0579643,15.7696686,1.28829575,1075.29529
4527568641560114304,271.0584869152148,19.43203935555358,11.589381119746374,347.009857,15.3473825,17.0544796,14.0900078,2.96447182,85.8620605
2008552008718564736,341.12174270093965,59.79883126013354,0.8156153381125276,15.9312315,16.7370491,17.4856033,15.8733072,1.6122961,1179.21448
932839069599470592,120.77893901632386,47.1198905989686,0.5162633701761913,11.9875059,15.7396278,16.1020126,15.2087431,0.893269539,1785.18713
3620768996598555136,208.31937591757017,-5.634703944404708,4.829781745936211,37.7831573,17.4298172,18.8538189,16.2816753,2.57214355,207.277176
3005051457232739840,91.22925805387216,-10.461702621901225,0.4916222224971222,14.0682716,15.6842937,16.1986752,14.9997196,1.19895554,1851.04395
1741090273335543936,323.4391289532948,8.72923918720381,1.52310985585762,63.6161957,14.8504868,15.3051929,14.2327452,1.07244778,639.622864
4524216196250356480,278.1688443066703,18.444919439575767,1.195236655920674,29.2574024,16.1194496,16.7411461,15.3712301,1.36991596,826.774963
4044373001069585792,275.6010534379699,-34.27382974499753,0.5924341951906136,14.5319443,15.370903,15.7567959,14.812891,0.943904877,1556.56287
6049446562944637952,246.0143457589299,-23.61064901811672,1.7647701402789748,10.5170765,17.9484119,,,,
391949270802277376,4.861104319775251,46.432766287775394,0.945662482095268,55.286953,11.0682173,11.6746778,10.326272,1.34840584,1022.90533
6008412960809777536,238.24882233776583,-39.423008043909846,0.9031959393339992,16.5855961,16.3344078,17.0584469,15.5127335,1.54571342,1058.54712
3343293429013662336,88.37072029688238,12.518135676630182,0.5016476745507282,17.7001247,15.0988951,15.4665508,14.5561609,0.9103899,1822.94458
1468703683645633408,202.6028169880564,32.23685817853582,2.3058532045987787,10.448081,18.973465,20.2060509,17.8588104,2.34724045,459.473022
2194667544538960384,307.3350240419516,59.92582383300166,0.8150331520324811,35.1516457,15.3918543,15.969244,14.6675634,1.30168056,1186.90771
2888447321394249856,85.34726056700995,-34.92600027279728,0.7732247424644075,54.3464546,14.1875477,14.5464611,13.6592722,0.887188911,1229.39294
4108099762943612416,260.89967150247173,-26.99333166549416,0.586236337652926,11.6671295,15.7393703,17.2572002,14.558567,2.69863319,1592.42285
5637650115129160576,139.7111973107544,-26.928621943266737,0.3516278698632415,17.8271065,14.50634,15.0648003,13.80194,1.2628603,2554.88232
208482149253526784,80.70668563050688,45.016256914654,1.3213453135359263,72.7242508,14.01192,14.3538208,13.5023737,0.851447105,736.858826
283777117838856960,74.97019527652687,58.20425276673992,0.7812040960570161,21.1614494,15.5676804,16.2267075,14.7686338,1.45807362,1215.31543
5191679815126099584,153.3014010569889,-84.5108851563553,0.2808066692187325,27.1366882,13.6052256,14.2042351,12.8674488,1.33678627,3220.11401
6069819890639270528,201.2430307262269,-52.05324594343048,1.1106670512158987,28.9682846,15.3239174,15.8068676,14.6500673,1.15680027,872.709473
6798178728370871808,306.66511934021105,-27.42068734571899,0.5297566279310271,10.9874945,16.338419,16.6867981,15.8249016,0.861896515,1770.11096
1309957332995476480,254.46460601288163,30.945156665627177,0.6231462758604648,14.962512,16.4646416,16.8543262,15.9004936,0.953832626,1559.13501
5826852220655939456,232.0312033858916,-63.61859299877814,0.4821629042068839,16.7732677,15.5135288,15.8948689,14.9558191,0.939049721,1908.63123
4062399627292040704,270.9980176651519,-28.95152072997584,0.2496001631614913,11.4146681,11.7804499,13.1132774,10.6414661,2.47181129,3714.88818
5617700129485874176,109.46337528491672,-24.330567692135244,0.5852996617947704,19.5450268,15.7332563,16.1463127,15.1455421,1.00077057,1605.10559
5847136148586889216,207.80106345205303,-69.40703687486129,0.6531024629811618,12.0222721,16.8798618,17.3728828,16.1835079,1.18937492,1557.87988
2164795634690717696,320.68694699393666,48.387308849359,1.269088850153553,60.4092064,15.1209984,16.0765133,14.1264925,1.95002079,767.816467
5536353311455181824,112.71918142095204,-42.29655308355856,0.8788030368740065,33.9285316,15.7162981,16.18573,15.0725584,1.11317158,1105.01477
4294542785765596800,291.45205499896457,5.961457963643985,0.5226071890604873,13.8453121,15.725996,16.6569233,14.7716227,1.88530064,1783.09131
6647789791369830528,273.33610790464235,-58.22060278698618,6.621876061257425,103.757599,16.8857174,18.59939,15.6432085,2.95618153,149.858459
5885760926905795200,236.04192823011385,-53.22774240630791,0.6944717629761533,13.4464722,16.3985023,17.0915737,15.5839529,1.50762081,1402.66895
4068857647599801344,266.40079303211513,-22.838830906010656,0.5500576005292239,15.2749567,15.1351414,15.7598267,14.2876692,1.47215748,1695.37427
4199017662221540352,285.6078208541244,-11.225414632663435,0.749652974041703,28.7796364,14.6833096,15.1498909,14.0416813,1.10820961,1262.22717
1843850453972949760,313.34894033283325,25.906158057580207,1.0273296525878035,55.2338409,11.9303694,12.0459328,11.7197313,0.326201439,927.214355
2128217116207932160,293.80152357523565,46.91277641314203,0.4463253844870764,30.013731,14.494873,15.0974255,13.7637272,1.33369827,2108.25659
5916754819645033088,257.39780958713453,-57.87604799597664,1.9796887616269847,10.0424919,16.5648975,16.9008541,15.6970835,1.20377064,535.288269
6075353835739634048,193.74754958206927,-51.42075288310039,0.6403560539178685,15.1899319,16.0564671,16.4735928,15.4635792,1.01001358,1524.3418
249176689507371520,51.84179514398295,47.86597434263653,1.1817690661740428,14.4883156,16.9718742,17.860796,16.0233765,1.83741951,791.878967
