set,hjd,mag
0,2456980.472549,10.70681
0,2456980.481878,10.71853
0,2456980.484374,10.71486
0,2456980.493708,10.72593
0,2456980.496233,10.72516
0,2456980.505562,10.71813
0,2456680.296144,10.69062
0,2456680.305377,10.69779
0,2456980.520314,10.72315
0,2456680.307598,10.69332
0,2456680.316859,10.69849
0,2456980.534299,10.73024
0,2456680.329276,10.69955
0,2456680.340802,10.69592
0,2455600.288217,10.67631
0,2455600.294824,10.68155
0,2455600.308848,10.68757
0,2455540.39521,10.66645
0,2455540.413425,10.67599
0,2456981.44542,10.73896
0,2456981.447914,10.71763
0,2456981.455018,10.7041
0,2455540.42813,10.67646
0,2455540.444208,10.67494
0,2455540.46028,10.67119
0,2455540.474269,10.67231
0,2456681.294415,10.72471
0,2456681.303638,10.71065
0,2456681.305854,10.71682
0,2456681.315081,10.71041
0,2456681.327506,10.72835
0,2456681.338998,10.71521
0,2456681.343777,10.71438
0,2456921.623515,10.73413
0,2456921.626061,10.73076
0,2456921.635434,10.74152
0,2456621.429168,10.7034
0,2456621.436602,10.70177
0,2456621.443405,10.71836
0,2456621.448699,10.7091
0,2456621.457711,10.69876
0,2456621.462946,10.72361
0,2456621.469746,10.71161
0,2456621.47498,10.7149
0,2456621.481749,10.71188
0,2456621.486967,10.71318
0,2456621.498974,10.71003
0,2456621.505751,10.71668
0,2456321.292813,10.71352
0,2456321.301577,10.70908
0,2456621.515715,10.71778
0,2456321.308321,10.70021
0,2456321.317965,10.71017
0,2456321.324731,10.70365
0,2456321.332289,10.71104
0,2456321.339007,10.71249
0,2456201.577324,10.72137
0,2456201.584048,10.71665
0,2456201.591464,10.73945
0,2456201.600415,10.7286
0,2456201.607811,10.7377
0,2457042.297489,10.7244
0,2457042.309743,10.73368
0,2457042.311944,10.74228
0,2457042.326196,10.74815
0,2457042.338667,10.74212
0,2457042.35026,10.74971
0,2457042.355116,10.74293
0,2456982.460541,10.74117
0,2456982.462821,10.75338
0,2456982.47522,10.75995
0,2456982.492256,10.75611
0,2456982.501601,10.75612
0,2456982.519157,10.75665
0,2456922.631248,10.75095
0,2456622.424401,10.73994
0,2456622.431182,10.73793
0,2456622.436453,10.74123
0,2456622.445589,10.73802
0,2456622.450859,10.73664
0,2456622.472763,10.73559
0,2456622.479554,10.73455
0,2456622.484811,10.7417
0,2456622.49166,10.73517
0,2456622.503745,10.74236
0,2456622.506114,10.73526
0,2456322.294428,10.71887
0,2456622.512925,10.73877
0,2456622.5153,10.73322
0,2456322.309943,10.72603
0,2456322.321651,10.73688
0,2456322.330598,10.72534
0,2456983.458342,10.767
0,2456983.470823,10.77583
0,2456983.483421,10.77976
0,2456983.492757,10.78328
0,2456983.49528,10.78023
0,2456983.504742,10.75979
0,2456683.295008,10.7534
0,2456983.50964,10.7773
0,2456683.304185,10.74687
0,2456683.306384,10.7397
0,2456983.523585,10.77581
0,2456683.315611,10.74715
0,2456683.328082,10.75393
0,2456683.341874,10.74598
0,2456923.604002,10.76071
0,2456923.614009,10.75888
0,2456923.625546,10.76848
0,2456323.2952,10.76025
0,2456323.3019,10.75596
0,2456323.304,10.7519
0,2456323.310728,10.76121
0,2456323.32033,10.75419
0,2456323.329294,10.7579
0,2456684.296537,10.78357
0,2456684.305717,10.76368
0,2456684.307918,10.78259
0,2456684.317269,10.76967
0,2456684.331761,10.77254
0,2456684.345712,10.7773
0,2456324.291487,10.77068
0,2456324.298166,10.78468
0,2456324.300269,10.76562
0,2456324.316584,10.76827
0,2456324.327738,10.76513
0,2457045.297634,10.78773
0,2456685.294991,10.785
0,2456685.304192,10.79745
0,2456685.306398,10.78984
0,2456685.315653,10.79464
0,2456685.327932,10.78018
0,2456685.34177,10.79842
0,2456925.598234,10.81918
0,2456925.600732,10.82049
0,2456925.607817,10.82204
0,2456925.610268,10.8186
0,2456925.621888,10.82643
0,2456925.624381,10.81831
0,2456625.418112,10.80129
0,2456925.633658,10.82432
0,2456625.424951,10.8024
0,2456625.43022,10.80014
0,2456625.4414,10.79634
0,2456625.446699,10.8022
0,2456625.455738,10.79876
0,2456625.467798,10.79849
0,2456625.476762,10.79738
0,2456625.482047,10.79585
0,2456625.493226,10.80025
0,2456625.497966,10.79976
0,2456325.32429,10.79723
0,2457046.297098,10.79966
0,2457046.306314,10.79058
0,2457046.308531,10.78701
0,2457046.317817,10.81848
0,2457046.330258,10.8033
0,2457046.344198,10.79767
0,2457046.34899,10.79715
0,2456926.594872,10.83133
0,2456926.597338,10.82166
0,2456926.604393,10.84269
0,2456926.606906,10.83515
0,2456926.61855,10.83664
0,2456926.621024,10.84296
0,2456926.630324,10.83304
0,2456326.290122,10.80504
0,2456326.296829,10.81304
0,2456326.301199,10.79538
0,2456326.310094,10.80922
0,2456326.319709,10.79846
0,2456687.293704,10.81422
0,2456687.302867,10.81114
0,2456687.305062,10.80444
0,2456627.414783,10.8286
0,2456627.421552,10.84396
0,2456627.431246,10.8435
0,2456627.442459,10.86495
0,2456627.447699,10.84652
0,2456327.289017,10.83661
0,2456327.29571,10.8298
0,2456327.300086,10.83317
0,2456567.577416,10.83054
0,2456567.584702,10.83364
0,2456567.591521,10.82359
0,2456567.596636,10.8387
0,2456567.605596,10.83533
0,2456567.610714,10.83983
0,2456567.61745,10.83083
0,2456988.461682,10.83661
0,2456988.483528,10.83352
0,2456988.502377,10.83123
0,2456988.507306,10.83775
0,2456688.294749,10.8346
0,2456688.303895,10.82863
0,2456688.306104,10.84124
0,2456688.329768,10.83559
0,2455487.545509,10.84165
0,2455487.576329,10.83696
0,2455487.592456,10.83759
0,2456628.493263,10.84097
0,2456328.289522,10.8359
0,2456328.296219,10.83995
0,2456328.311826,10.83683
0,2456328.321489,10.83819
0,2456568.575751,10.8342
0,2456568.582984,10.83389
0,2456568.594107,10.83292
0,2456568.611241,10.848
0,2456568.616353,10.84412
0,2456568.625286,10.84704
0,2456329.289177,10.83477
0,2456329.298039,10.82523
0,2456329.302423,10.83223
0,2456329.313614,10.83468
0,2456569.574513,10.84183
0,2456569.586344,10.83857
0,2456569.597463,10.84615
0,2456569.602581,10.83743
0,2456569.611509,10.84489
0,2456990.425478,10.81961
0,2456990.428211,10.83033
0,2456990.436137,10.83014
0,2456990.44787,10.81632
0,2456990.460428,10.81931
0,2456990.469782,10.8192
0,2456990.472341,10.83295
0,2456990.481665,10.82566
0,2456990.486617,10.81582
0,2456990.500601,10.82294
0,2456690.29288,10.82949
0,2456690.302132,10.81861
0,2456690.306763,10.82479
0,2456690.320773,10.82056
0,2456630.403423,10.8361
0,2456630.410871,10.83528
0,2456630.419821,10.828
0,2456630.425165,10.83508
0,2456330.288253,10.82448
0,2456330.297126,10.82982
0,2456330.301528,10.83186
0,2456330.31269,10.83023
0,2456570.568802,10.84312
0,2456570.576075,10.84721
0,2456570.587208,10.84618
0,2456570.592294,10.84225
0,2456570.603402,10.83876
0,2456570.608595,10.84959
0,2456570.617509,10.83948
0,2456991.437884,10.80777
0,2456991.440117,10.78928
0,2456991.449446,10.79616
0,2456991.462003,10.79102
0,2456991.471357,10.79115
0,2456991.473883,10.8006
0,2456991.483244,10.79982
0,2456991.488186,10.80244
0,2456991.502171,10.81258
0,2456691.292683,10.82356
0,2456691.301885,10.80367
0,2456691.306458,10.80831
0,2456631.402794,10.81527
0,2456631.409605,10.82726
0,2456631.430578,10.8184
0,2456631.43962,10.80994
0,2456631.445027,10.81596
0,2456331.287461,10.82439
0,2456331.296344,10.81748
0,2456331.300757,10.82484
0,2456331.311916,10.81637
0,2456211.560032,10.85217
0,2456211.566818,10.84744
0,2456211.574273,10.85209
0,2456211.583239,10.8435
0,2456632.401009,10.79943
0,2456632.407824,10.84021
0,2456632.438685,10.80829
0,2456632.443971,10.79293
0,2456632.452937,10.81119
0,2456632.458235,10.80789
0,2456632.4694,10.80638
0,2456632.481349,10.80884
0,2456332.287054,10.81525
0,2456332.295877,10.80923
0,2456332.300241,10.79847
0,2456212.550904,10.83411
0,2456212.56039,10.82822
0,2456212.569337,10.82627
0,2456212.576739,10.8252
0,2456212.583458,10.82549
0,2456212.593107,10.8394
0,2456212.599837,10.82966
0,2455612.273383,10.80273
0,2455612.278068,10.79975
0,2456993.408282,10.76166
0,2456993.423853,10.75262
0,2456993.426088,10.75935
0,2456993.437836,10.75547
0,2456993.450382,10.79138
0,2456993.459817,10.77818
0,2456993.462392,10.78156
0,2456993.471754,10.76901
0,2456993.476741,10.76517
0,2456993.490823,10.77457
0,2456993.495804,10.78012
0,2456693.3104,10.78179
0,2456933.572947,10.77344
0,2456933.575344,10.77216
0,2456933.582322,10.77847
0,2456933.584707,10.77325
0,2456633.406434,10.77165
0,2456633.418537,10.77878
0,2456633.442353,10.77482
0,2456633.448488,10.78673
0,2456633.458413,10.79095
0,2456633.466601,10.77793
0,2456573.561892,10.78791
0,2456573.568627,10.79495
0,2456573.573743,10.78141
0,2456573.584861,10.78667
0,2456273.381048,10.77299
0,2456573.596679,10.78718
0,2456273.387791,10.77957
0,2456573.60559,10.78881
0,2456273.395295,10.78743
0,2456573.610725,10.78385
0,2456273.404267,10.77924
0,2456573.619682,10.79202
0,2456273.411734,10.7867
0,2456273.418536,10.78831
0,2456273.4284,10.78367
0,2456273.435178,10.77581
0,2456273.444914,10.7985
0,2456213.546239,10.79988
0,2456213.555732,10.81536
0,2456213.564641,10.80195
0,2456213.572033,10.82213
0,2456213.581902,10.80854
0,2456213.593655,10.81734
0,2456213.600416,10.81576
0,2455613.276432,10.79351
0,2456694.290749,10.76448
0,2456694.3022,10.74915
0,2456694.306838,10.7497
0,2456934.577592,10.75659
0,2456934.579996,10.75238
0,2456934.586992,10.73664
0,2456934.589398,10.74949
0,2456934.60094,10.75126
0,2456934.603314,10.74736
0,2456934.612518,10.74085
0,2456934.614875,10.75225
0,2456934.624132,10.75652
0,2456334.296894,10.76481
0,2456574.559592,10.76266
0,2456574.566321,10.76685
0,2456574.571455,10.75871
0,2456574.582601,10.76563
0,2456574.594434,10.76791
0,2456574.603355,10.76909
0,2456574.608454,10.76357
0,2456574.617391,10.76649
0,2456214.542619,10.77137
0,2456214.552143,10.76963
0,2456214.561074,10.77143
0,2456214.568471,10.77494
0,2456214.578277,10.77351
0,2456214.590138,10.77246
0,2456214.596885,10.76939
0,2456935.570637,10.72243
0,2456935.573041,10.71994
0,2456935.580016,10.72046
0,2456935.582405,10.72363
0,2456935.594002,10.73137
0,2456935.596394,10.73187
0,2456935.605669,10.72891
0,2456935.608026,10.72816
0,2456935.617249,10.7254
0,2456575.557258,10.72259
0,2456575.593458,10.73479
0,2456575.605286,10.7352
0,2456575.614223,10.73404
0,2455555.348064,10.7505
0,2455555.366318,10.74914
0,2455555.380162,10.7609
0,2455555.396259,10.74698
0,2455555.412352,10.75487
0,2456936.564068,10.69136
0,2456936.57109,10.70018
0,2456936.573456,10.70936
0,2456936.580444,10.70261
0,2456936.582814,10.70985
0,2456936.594399,10.69979
0,2456936.606798,10.7013
0,2456936.616034,10.70712
0,2456636.412372,10.70279
0,2456636.417763,10.70933
0,2456636.426794,10.71374
0,2456636.432124,10.71747
0,2456636.441142,10.71152
0,2456636.458427,10.71932
0,2456636.472035,10.71266
0,2456336.279174,10.72588
0,2456336.290237,10.72665
0,2456336.294612,10.72681
0,2455556.359281,10.73327
0,2455556.375392,10.72904
0,2455556.39011,10.73074
0,2456937.561793,10.67663
0,2456937.564217,10.68035
0,2456937.571216,10.68714
0,2456937.5736,10.68122
0,2456937.582908,10.68759
0,2456937.592952,10.69142
0,2456937.602191,10.69236
0,2456937.604601,10.68787
0,2456937.61386,10.68695
0,2456337.283705,10.69863
0,2456337.29476,10.70307
0,2456577.554353,10.71209
0,2456577.563282,10.69531
0,2456577.568429,10.71338
0,2456577.584476,10.71375
0,2455557.34748,10.7086
0,2455557.365727,10.72351
0,2455557.379577,10.7238
0,2455557.395667,10.71642
0,2456338.290404,10.69049
0,2456218.532554,10.69922
0,2456218.542065,10.68287
0,2456218.550999,10.69951
0,2456218.560534,10.69246
0,2456218.567306,10.68892
0,2456218.576981,10.69279
0,2455558.348642,10.6933
0,2455558.364692,10.70014
0,2455558.379469,10.70265
0,2455558.395576,10.69244
0,2455558.411665,10.69354
0,2455558.425664,10.69719
0,2456639.377898,10.64464
0,2456639.385374,10.65463
0,2456639.39438,10.65929
0,2456639.399737,10.65401
0,2456639.411075,10.65176
0,2456639.416478,10.66761
0,2456639.425533,10.66276
0,2456639.437595,10.67028
0,2456639.446726,10.66014
0,2456639.451603,10.65265
0,2456339.285775,10.66956
0,2456579.545641,10.67364
0,2456579.552405,10.66092
0,2456579.557542,10.66684
0,2456579.568677,10.6621
0,2456579.5738,10.67795
0,2456279.364103,10.66218
0,2456579.582721,10.67037
0,2456279.373693,10.67374
0,2456279.380453,10.66987
0,2456579.594539,10.67365
0,2456579.603499,10.67404
0,2456279.400043,10.68374
0,2456279.409779,10.67736
0,2456279.41655,10.67509
0,2456279.426293,10.68701
0,2456279.435256,10.68208
0,2456279.445019,10.68188
0,2456580.540484,10.64162
0,2456580.547858,10.64526
0,2456580.558957,10.64605
0,2456580.564071,10.64527
0,2456580.575193,10.64177
0,2456580.58042,10.64895
0,2456580.589356,10.65188
0,2456581.56136,10.65183
0,2456581.566585,10.64995
0,2456581.575486,10.64917
0,2456581.580618,10.65309
0,2456281.367496,10.63575
0,2456281.374978,10.65939
0,2456581.589556,10.66119
0,2456581.594704,10.65194
0,2456281.383915,10.64205
0,2456281.395827,10.64922
0,2456281.402603,10.63109
0,2456281.412352,10.64313
0,2456281.419133,10.63739
0,2456281.428889,10.6384
0,2456281.440157,10.63888
0,2456582.551525,10.65169
0,2456582.562539,10.64029
0,2456582.567657,10.64455
0,2456282.362101,10.62876
0,2456282.368876,10.63471
0,2456282.376386,10.63146
0,2456282.385328,10.63742
0,2456282.397182,10.6244
0,2456282.403955,10.63834
0,2456282.413694,10.6315
0,2456282.43233,10.62783
0,2456282.443543,10.63896
0,2456283.357638,10.62158
0,2456283.364368,10.63408
0,2456283.371815,10.61504
0,2456283.380734,10.61105
0,2457004.427313,10.62921
0,2456704.284244,10.61539
0,2456704.291223,10.63007
0,2457005.377551,10.63437
0,2457005.38016,10.64214
0,2457005.38728,10.64288
0,2457005.389924,10.63896
0,2457005.401692,10.6446
0,2457005.404344,10.6471
0,2457005.413734,10.64561
0,2457005.41636,10.64677
0,2457005.42574,10.6525
0,2456585.529502,10.65673
0,2456585.56495,10.64665
0,2456585.573875,10.63994
0,2456585.579031,10.65517
0,2456585.588032,10.64847
0,2456225.515319,10.6484
0,2456225.524822,10.63567
0,2456225.533733,10.63665
0,2456225.541122,10.65626
0,2456225.547864,10.64389
0,2456225.557541,10.65286
0,2456225.564265,10.65873
0,2456225.574031,10.65317
0,2456225.582939,10.65722
0,2456225.594909,10.65948
0,2457006.385015,10.64505
0,2457006.452148,10.64837
0,2457007.371965,10.68488
0,2457007.374528,10.67923
0,2457007.381634,10.66159
0,2457007.384274,10.66913
0,2457007.39604,10.67511
0,2457007.407955,10.66579
0,2457007.410483,10.66782
0,2455567.330629,10.63771
0,2455567.346848,10.62938
0,2455567.361629,10.63291
0,2455567.377842,10.63898
0,2457008.420678,10.68606
0,2455567.394094,10.65621
0,2457008.430062,10.68133
0,2457008.444829,10.68962
0,2456708.279631,10.67941
0,2456228.515905,10.68887
0,2456228.525484,10.6808
0,2456228.542813,10.68668
0,2456228.552531,10.68229
0,2456228.55928,10.68718
0,2456228.568945,10.68963
0,2457069.282908,10.68864
0,2455568.312453,10.66268
0,2457009.368416,10.69826
0,2455568.393483,10.66015
0,2457009.429798,10.69304
0,2457009.448965,10.69416
0,2455508.480902,10.69827
0,2456949.531428,10.70028
0,2456949.533851,10.69505
0,2456949.540898,10.69392
0,2456949.543334,10.69828
0,2456949.550358,10.69806
0,2456949.562949,10.69888
0,2456949.565401,10.69665
0,2456949.572478,10.69562
0,2456649.361431,10.69519
0,2456949.581972,10.70012
0,2456949.584505,10.70429
0,2456649.375825,10.69048
0,2456949.591651,10.70183
0,2456649.396138,10.68388
0,2456649.402959,10.69636
0,2456649.408294,10.69265
0,2456649.420488,10.69172
0,2456649.427358,10.69119
0,2456229.502467,10.6958
0,2456229.537231,10.69152
0,2456229.546927,10.68579
0,2456229.55369,10.70047
0,2456229.563402,10.69402
0,2456229.572369,10.70012
0,2456229.582043,10.69303
0,2457070.288717,10.70911
0,2455569.319862,10.67168
0,2455569.336008,10.66305
0,2457010.36491,10.70722
0,2457010.367577,10.7043
0,2457010.37469,10.71545
0,2457010.377302,10.7084
0,2457010.38909,10.71768
0,2457010.391692,10.72136
0,2457010.401042,10.71919
0,2457010.403632,10.72482
0,2457010.41297,10.71929
0,2457010.415555,10.71146
0,2457010.437166,10.71849
0,2456950.527357,10.7104
0,2456950.529763,10.70724
0,2456950.536782,10.71234
0,2456950.550892,10.70885
0,2456950.553359,10.7071
0,2456650.348322,10.70586
0,2456950.574365,10.70598
0,2456950.57679,10.70384
0,2456650.37012,10.70934
0,2456950.586084,10.72101
0,2456650.381356,10.71529
0,2456950.598514,10.7119
0,2456650.393369,10.70452
0,2456950.607819,10.70447
